scene_id,xml_path,tif_path,remote_xml_uri,remote_tif_uri,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,imaging_time
LuoJia1-01_LR201806057936_20180603055109_HDR_0029,local\LULO4\LuoJia1-01_LR201806057936_20180603055109_HDR_0029_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603055109_HDR_0029_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055109_HDR_0029_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055109_HDR_0029_gec.tif,-118.911156,32.341746,-115.211464,35.301386,-116.950315,33.888763,2018-6-3T5:50:57.157223
LuoJia1-01_LR201806057936_20180603055110_HDR_0030,local\LULO4\LuoJia1-01_LR201806057936_20180603055110_HDR_0030_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603055110_HDR_0030_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055110_HDR_0030_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055110_HDR_0030_gec.tif,-118.929848,32.402838,-115.227276,35.362085,-116.967373,33.949902,2018-6-3T5:50:58.158364
LuoJia1-01_LR201806057936_20180603055111_HDR_0031,local\LULO4\LuoJia1-01_LR201806057936_20180603055111_HDR_0031_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603055111_HDR_0031_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055111_HDR_0031_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055111_HDR_0031_gec.tif,-118.953512,32.463943,-115.24323,35.422993,-116.984036,34.01115,2018-6-3T5:50:59.159105
LuoJia1-01_LR201806057936_20180603055114_HDR_0034,local\LULO4\LuoJia1-01_LR201806057936_20180603055114_HDR_0034_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603055114_HDR_0034_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055114_HDR_0034_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055114_HDR_0034_gec.tif,-119.017452,32.649098,-115.293315,35.608454,-117.0372,34.196205,2018-6-3T5:51:2.162665
LuoJia1-01_LR201806057936_20180603055115_HDR_0035,local\LULO4\LuoJia1-01_LR201806057936_20180603055115_HDR_0035_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603055115_HDR_0035_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055115_HDR_0035_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603055115_HDR_0035_gec.tif,-119.038258,32.711055,-115.310977,35.670551,-117.054731,34.258338,2018-6-3T5:51:3.163989
LuoJia1-01_LR201806057936_20180603171232_HDR_0017,local\LULO4\LuoJia1-01_LR201806057936_20180603171232_HDR_0017_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603171232_HDR_0017_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171232_HDR_0017_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171232_HDR_0017_gec.tif,75.556513,26.467667,79.120612,29.435468,77.214234,27.859509,2018-6-3T17:12:19.23092
LuoJia1-01_LR201806057936_20180603171233_HDR_0018,local\LULO4\LuoJia1-01_LR201806057936_20180603171233_HDR_0018_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603171233_HDR_0018_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171233_HDR_0018_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171233_HDR_0018_gec.tif,75.540912,26.52918,79.106884,29.497878,77.199581,27.921408,2018-6-3T17:12:20.23189
LuoJia1-01_LR201806057936_20180603171234_HDR_0019,local\LULO4\LuoJia1-01_LR201806057936_20180603171234_HDR_0019_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603171234_HDR_0019_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171234_HDR_0019_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171234_HDR_0019_gec.tif,75.525339,26.590315,79.093143,29.559416,77.18498,27.982597,2018-6-3T17:12:21.23286
LuoJia1-01_LR201806057936_20180603171234_HDR_0020,local\LULO4\LuoJia1-01_LR201806057936_20180603171234_HDR_0020_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603171234_HDR_0020_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171234_HDR_0020_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171234_HDR_0020_gec.tif,75.509914,26.651095,79.079491,29.620488,77.170358,28.043737,2018-6-3T17:12:22.23383
LuoJia1-01_LR201806057936_20180603171236_HDR_0021,local\LULO4\LuoJia1-01_LR201806057936_20180603171236_HDR_0021_meta.xml,local\LULO4\LuoJia1-01_LR201806057936_20180603171236_HDR_0021_gec.tif,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171236_HDR_0021_meta.xml,hf://buckets/cbernegger/LULO4/LuoJia1-01_LR201806057936_20180603171236_HDR_0021_gec.tif,75.494606,26.7114,79.065937,29.681105,77.156059,28.104058,2018-6-3T17:12:23.23481
